Comunidades y ciudades autónomas;Ramas de actividad;Magnitud;Periodo;Total
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Valor;2019;10.752.700
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Valor;2018;10.456.129
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Valor;2017;10.350.414
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Valor;2016;9.878.813
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2022(A);11,8
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2021(P);13,5
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2020;-7,5
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2019;2,8
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2018;1
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2017;4,8
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2016;..
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2022(A);19,6
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2021(P);19
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2020;18,1
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2019;18
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2018;17,9
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2017;18,5
Castilla y León;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2016;18
Castilla y León;C. - De las cuales: Industria manufacturera;Valor;2022(A);9.582.358
Castilla y León;C. - De las cuales: Industria manufacturera;Valor;2021(P);8.719.598
Castilla y León;C. - De las cuales: Industria manufacturera;Valor;2020;7.962.867
Castilla y León;C. - De las cuales: Industria manufacturera;Valor;2019;8.593.537
Castilla y León;C. - De las cuales: Industria manufacturera;Valor;2018;8.283.121
Castilla y León;C. - De las cuales: Industria manufacturera;Valor;2017;8.350.011
Castilla y León;C. - De las cuales: Industria manufacturera;Valor;2016;7.842.036
Castilla y León;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2022(A);9,9
Castilla y León;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2021(P);9,5
Castilla y León;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2020;-7,3
Castilla y León;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2019;3,7
Castilla y León;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2018;-0,8
Castilla y León;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2017;6,5
Castilla y León;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2016;..
Castilla y León;C. - De las cuales: Industria manufacturera;Estructura porcentual;2022(A);14,9
Castilla y León;C. - De las cuales: Industria manufacturera;Estructura porcentual;2021(P);14,7
Castilla y León;C. - De las cuales: Industria manufacturera;Estructura porcentual;2020;14,5
Castilla y León;C. - De las cuales: Industria manufacturera;Estructura porcentual;2019;14,4
Castilla y León;C. - De las cuales: Industria manufacturera;Estructura porcentual;2018;14,1
Castilla y León;C. - De las cuales: Industria manufacturera;Estructura porcentual;2017;14,9
Castilla y León;C. - De las cuales: Industria manufacturera;Estructura porcentual;2016;14,3
Castilla y León;F. Construcción;Valor;2022(A);3.403.704
Castilla y León;F. Construcción;Valor;2021(P);3.234.368
Castilla y León;F. Construcción;Valor;2020;3.196.523
Castilla y León;F. Construcción;Valor;2019;3.603.267
Castilla y León;F. Construcción;Valor;2018;3.317.085
Castilla y León;F. Construcción;Valor;2017;3.254.595
Castilla y León;F. Construcción;Valor;2016;3.147.919
Castilla y León;F. Construcción;Tasas de variación interanuales;2022(A);5,2
Castilla y León;F. Construcción;Tasas de variación interanuales;2021(P);1,2
Castilla y León;F. Construcción;Tasas de variación interanuales;2020;-11,3
Castilla y León;F. Construcción;Tasas de variación interanuales;2019;8,6
Castilla y León;F. Construcción;Tasas de variación interanuales;2018;1,9
Castilla y León;F. Construcción;Tasas de variación interanuales;2017;3,4
Castilla y León;F. Construcción;Tasas de variación interanuales;2016;..
Castilla y León;F. Construcción;Estructura porcentual;2022(A);5,3
Castilla y León;F. Construcción;Estructura porcentual;2021(P);5,5
Castilla y León;F. Construcción;Estructura porcentual;2020;5,8
Castilla y León;F. Construcción;Estructura porcentual;2019;6
Castilla y León;F. Construcción;Estructura porcentual;2018;5,7
Castilla y León;F. Construcción;Estructura porcentual;2017;5,8
Castilla y León;F. Construcción;Estructura porcentual;2016;5,7
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2022(A);12.049.139
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2021(P);10.102.843
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2020;8.680.651
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2019;11.024.204
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2018;10.698.528
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2017;10.478.993
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2016;9.977.187
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2022(A);19,3
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2021(P);16,4
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2020;-21,3
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2019;3
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2018;2,1
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2017;5
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2016;..
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2022(A);18,8
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2021(P);17
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2020;15,8
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2019;18,4
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2018;18,3
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2017;18,7
Castilla y León;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2016;18,2
Castilla y León;J. Información y comunicaciones;Valor;2022(A);891.769
Castilla y León;J. Información y comunicaciones;Valor;2021(P);847.669
Castilla y León;J. Información y comunicaciones;Valor;2020;831.047
Castilla y León;J. Información y comunicaciones;Valor;2019;863.039
Castilla y León;J. Información y comunicaciones;Valor;2018;849.819
Castilla y León;J. Información y comunicaciones;Valor;2017;876.584
Castilla y León;J. Información y comunicaciones;Valor;2016;810.992
Castilla y León;J. Información y comunicaciones;Tasas de variación interanuales;2022(A);5,2
Castilla y León;J. Información y comunicaciones;Tasas de variación interanuales;2021(P);2
Castilla y León;J. Información y comunicaciones;Tasas de variación interanuales;2020;-3,7
Castilla y León;J. Información y comunicaciones;Tasas de variación interanuales;2019;1,6
Castilla y León;J. Información y comunicaciones;Tasas de variación interanuales;2018;-3,1
Castilla y León;J. Información y comunicaciones;Tasas de variación interanuales;2017;8,1
Castilla y León;J. Información y comunicaciones;Tasas de variación interanuales;2016;..
Castilla y León;J. Información y comunicaciones;Estructura porcentual;2022(A);1,4
Castilla y León;J. Información y comunicaciones;Estructura porcentual;2021(P);1,4
Castilla y León;J. Información y comunicaciones;Estructura porcentual;2020;1,5
Castilla y León;J. Información y comunicaciones;Estructura porcentual;2019;1,4
Castilla y León;J. Información y comunicaciones;Estructura porcentual;2018;1,5
Castilla y León;J. Información y comunicaciones;Estructura porcentual;2017;1,6
Castilla y León;J. Información y comunicaciones;Estructura porcentual;2016;1,5
Castilla y León;K. Actividades financieras y de seguros;Valor;2022(A);2.401.055
Castilla y León;K. Actividades financieras y de seguros;Valor;2021(P);2.114.700
Castilla y León;K. Actividades financieras y de seguros;Valor;2020;2.110.871
Castilla y León;K. Actividades financieras y de seguros;Valor;2019;2.024.430
Castilla y León;K. Actividades financieras y de seguros;Valor;2018;2.060.176
Castilla y León;K. Actividades financieras y de seguros;Valor;2017;1.873.535
Castilla y León;K. Actividades financieras y de seguros;Valor;2016;1.800.303
Castilla y León;K. Actividades financieras y de seguros;Tasas de variación interanuales;2022(A);13,5
Castilla y León;K. Actividades financieras y de seguros;Tasas de variación interanuales;2021(P);0,2
Castilla y León;K. Actividades financieras y de seguros;Tasas de variación interanuales;2020;4,3
Castilla y León;K. Actividades financieras y de seguros;Tasas de variación interanuales;2019;-1,7
Castilla y León;K. Actividades financieras y de seguros;Tasas de variación interanuales;2018;10
Castilla y León;K. Actividades financieras y de seguros;Tasas de variación interanuales;2017;4,1
Castilla y León;K. Actividades financieras y de seguros;Tasas de variación interanuales;2016;..
Castilla y León;K. Actividades financieras y de seguros;Estructura porcentual;2022(A);3,7
Castilla y León;K. Actividades financieras y de seguros;Estructura porcentual;2021(P);3,6
Castilla y León;K. Actividades financieras y de seguros;Estructura porcentual;2020;3,8
Castilla y León;K. Actividades financieras y de seguros;Estructura porcentual;2019;3,4
Castilla y León;K. Actividades financieras y de seguros;Estructura porcentual;2018;3,5
Castilla y León;K. Actividades financieras y de seguros;Estructura porcentual;2017;3,3
Castilla y León;K. Actividades financieras y de seguros;Estructura porcentual;2016;3,3
Castilla y León;L. Actividades inmobiliarias;Valor;2022(A);6.346.604
Castilla y León;L. Actividades inmobiliarias;Valor;2021(P);6.106.319
Castilla y León;L. Actividades inmobiliarias;Valor;2020;5.964.900
Castilla y León;L. Actividades inmobiliarias;Valor;2019;5.973.587
Castilla y León;L. Actividades inmobiliarias;Valor;2018;5.866.830
Castilla y León;L. Actividades inmobiliarias;Valor;2017;5.744.112
Castilla y León;L. Actividades inmobiliarias;Valor;2016;5.674.036
Castilla y León;L. Actividades inmobiliarias;Tasas de variación interanuales;2022(A);3,9
Castilla y León;L. Actividades inmobiliarias;Tasas de variación interanuales;2021(P);2,4
Castilla y León;L. Actividades inmobiliarias;Tasas de variación interanuales;2020;-0,1
Castilla y León;L. Actividades inmobiliarias;Tasas de variación interanuales;2019;1,8
Castilla y León;L. Actividades inmobiliarias;Tasas de variación interanuales;2018;2,1
Castilla y León;L. Actividades inmobiliarias;Tasas de variación interanuales;2017;1,2
Castilla y León;L. Actividades inmobiliarias;Tasas de variación interanuales;2016;..
Castilla y León;L. Actividades inmobiliarias;Estructura porcentual;2022(A);9,9
Castilla y León;L. Actividades inmobiliarias;Estructura porcentual;2021(P);10,3
Castilla y León;L. Actividades inmobiliarias;Estructura porcentual;2020;10,9
Castilla y León;L. Actividades inmobiliarias;Estructura porcentual;2019;10
Castilla y León;L. Actividades inmobiliarias;Estructura porcentual;2018;10
Castilla y León;L. Actividades inmobiliarias;Estructura porcentual;2017;10,2
Castilla y León;L. Actividades inmobiliarias;Estructura porcentual;2016;10,4
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2022(A);3.272.352
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2021(P);3.079.627
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2020;2.783.641
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2019;3.104.848
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2018;2.920.077
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2017;2.846.622
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2016;2.660.289
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2022(A);6,3
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2021(P);10,6
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2020;-10,3
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2019;6,3
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2018;2,6
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2017;7
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2016;..
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2022(A);5,1
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2021(P);5,2
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2020;5,1
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2019;5,2
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2018;5
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2017;5,1
Castilla y León;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2016;4,9
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2022(A);12.203.247
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2021(P);11.687.265
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2020;11.709.257
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2019;12.000.189
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2018;11.601.460
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2017;11.263.181
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2016;10.885.869
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2022(A);4,4
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2021(P);-0,2
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2020;-2,4
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2019;3,4
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2018;3
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2017;3,5
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2016;..
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2022(A);19
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2021(P);19,7
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2020;21,4
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2019;20,1
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2018;19,8
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2017;20,1
Castilla y León;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2016;19,9
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2022(A);2.243.981
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2021(P);1.957.926
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2020;1.928.080
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2019;2.367.505
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2018;2.366.727
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2017;2.276.774
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2016;2.131.139
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2022(A);14,6
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2021(P);1,5
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2020;-18,6
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2019;0
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2018;4
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2017;6,8
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2016;..
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2022(A);3,5
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2021(P);3,3
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2020;3,5
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2019;4
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2018;4
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2017;4,1
Castilla y León;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2016;3,9
Castilla y León;Valor añadido bruto total;Valor;2022(A);58.466.706
Castilla y León;Valor añadido bruto total;Valor;2021(P);53.618.242
Castilla y León;Valor añadido bruto total;Valor;2020;50.037.845
Castilla y León;Valor añadido bruto total;Valor;2019;54.234.345
Castilla y León;Valor añadido bruto total;Valor;2018;52.980.493
Castilla y León;Valor añadido bruto total;Valor;2017;50.817.640
Castilla y León;Valor añadido bruto total;Valor;2016;49.695.493
Castilla y León;Valor añadido bruto total;Tasas de variación interanuales;2022(A);9
Castilla y León;Valor añadido bruto total;Tasas de variación interanuales;2021(P);7,2
Castilla y León;Valor añadido bruto total;Tasas de variación interanuales;2020;-7,7
Castilla y León;Valor añadido bruto total;Tasas de variación interanuales;2019;2,4
Castilla y León;Valor añadido bruto total;Tasas de variación interanuales;2018;4,3
Castilla y León;Valor añadido bruto total;Tasas de variación interanuales;2017;2,3
Castilla y León;Valor añadido bruto total;Tasas de variación interanuales;2016;..
Castilla y León;Valor añadido bruto total;Estructura porcentual;2022(A);91
Castilla y León;Valor añadido bruto total;Estructura porcentual;2021(P);90,5
Castilla y León;Valor añadido bruto total;Estructura porcentual;2020;91,2
Castilla y León;Valor añadido bruto total;Estructura porcentual;2019;90,7
Castilla y León;Valor añadido bruto total;Estructura porcentual;2018;90,5
Castilla y León;Valor añadido bruto total;Estructura porcentual;2017;90,7
Castilla y León;Valor añadido bruto total;Estructura porcentual;2016;90,7
Castilla y León;Impuestos netos sobre los productos;Valor;2022(A);5.759.936
Castilla y León;Impuestos netos sobre los productos;Valor;2021(P);5.645.549
Castilla y León;Impuestos netos sobre los productos;Valor;2020;4.798.720
Castilla y León;Impuestos netos sobre los productos;Valor;2019;5.564.208
Castilla y León;Impuestos netos sobre los productos;Valor;2018;5.565.378
Castilla y León;Impuestos netos sobre los productos;Valor;2017;5.241.213
Castilla y León;Impuestos netos sobre los productos;Valor;2016;5.069.071
Castilla y León;Impuestos netos sobre los productos;Tasas de variación interanuales;2022(A);2
Castilla y León;Impuestos netos sobre los productos;Tasas de variación interanuales;2021(P);17,6
Castilla y León;Impuestos netos sobre los productos;Tasas de variación interanuales;2020;-13,8
Castilla y León;Impuestos netos sobre los productos;Tasas de variación interanuales;2019;0
Castilla y León;Impuestos netos sobre los productos;Tasas de variación interanuales;2018;6,2
Castilla y León;Impuestos netos sobre los productos;Tasas de variación interanuales;2017;3,4
Castilla y León;Impuestos netos sobre los productos;Tasas de variación interanuales;2016;..
Castilla y León;Impuestos netos sobre los productos;Estructura porcentual;2022(A);9
Castilla y León;Impuestos netos sobre los productos;Estructura porcentual;2021(P);9,5
Castilla y León;Impuestos netos sobre los productos;Estructura porcentual;2020;8,8
Castilla y León;Impuestos netos sobre los productos;Estructura porcentual;2019;9,3
Castilla y León;Impuestos netos sobre los productos;Estructura porcentual;2018;9,5
Castilla y León;Impuestos netos sobre los productos;Estructura porcentual;2017;9,3
Castilla y León;Impuestos netos sobre los productos;Estructura porcentual;2016;9,3
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2022(A);64.226.642
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2021(P);59.263.791
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2020;54.836.565
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2019;59.798.553
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2018;58.545.871
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2017;56.058.853
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2016;54.764.564
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2022(A);8,4
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2021(P);8,1
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2020;-8,3
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2019;2,1
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2018;4,4
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2017;2,4
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2016;..
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2022(A);100
Castilla y León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2021(P);100
