Comunidades y ciudades autónomas;Ramas de actividad;Magnitud;Periodo;Total
Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Valor;2016;15.920.588
Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2022(A);17,1
Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2021(P);16,9
Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2020;-11,4
Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2019;0,6
Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2018;0,6
Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2017;6,9
Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2016;..
Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2022(A);11,6
Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2021(P);10,9
Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2020;10,3
Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2019;10,4
Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2018;10,7
Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2017;11
Andalucía;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2016;10,7
Andalucía;C. - De las cuales: Industria manufacturera;Valor;2022(A);12.244.254
Andalucía;C. - De las cuales: Industria manufacturera;Valor;2021(P);11.165.317
Andalucía;C. - De las cuales: Industria manufacturera;Valor;2020;9.570.097
Andalucía;C. - De las cuales: Industria manufacturera;Valor;2019;11.124.305
Andalucía;C. - De las cuales: Industria manufacturera;Valor;2018;11.077.033
Andalucía;C. - De las cuales: Industria manufacturera;Valor;2017;11.372.164
Andalucía;C. - De las cuales: Industria manufacturera;Valor;2016;10.565.151
Andalucía;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2022(A);9,7
Andalucía;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2021(P);16,7
Andalucía;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2020;-14
Andalucía;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2019;0,4
Andalucía;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2018;-2,6
Andalucía;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2017;7,6
Andalucía;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2016;..
Andalucía;C. - De las cuales: Industria manufacturera;Estructura porcentual;2022(A);6,8
Andalucía;C. - De las cuales: Industria manufacturera;Estructura porcentual;2021(P);6,8
Andalucía;C. - De las cuales: Industria manufacturera;Estructura porcentual;2020;6,4
Andalucía;C. - De las cuales: Industria manufacturera;Estructura porcentual;2019;6,7
Andalucía;C. - De las cuales: Industria manufacturera;Estructura porcentual;2018;6,9
Andalucía;C. - De las cuales: Industria manufacturera;Estructura porcentual;2017;7,3
Andalucía;C. - De las cuales: Industria manufacturera;Estructura porcentual;2016;7,1
Andalucía;F. Construcción;Valor;2022(A);9.699.835
Andalucía;F. Construcción;Valor;2021(P);9.256.853
Andalucía;F. Construcción;Valor;2020;8.918.988
Andalucía;F. Construcción;Valor;2019;10.489.402
Andalucía;F. Construcción;Valor;2018;9.457.000
Andalucía;F. Construcción;Valor;2017;8.810.587
Andalucía;F. Construcción;Valor;2016;8.483.942
Andalucía;F. Construcción;Tasas de variación interanuales;2022(A);4,8
Andalucía;F. Construcción;Tasas de variación interanuales;2021(P);3,8
Andalucía;F. Construcción;Tasas de variación interanuales;2020;-15
Andalucía;F. Construcción;Tasas de variación interanuales;2019;10,9
Andalucía;F. Construcción;Tasas de variación interanuales;2018;7,3
Andalucía;F. Construcción;Tasas de variación interanuales;2017;3,9
