Agregados macroeconómicos;Total CNAE;CNAE Agrupación A10;CNAE Agrupación A21;CNAE Agrupación A64;Periodo;Total
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;1995;28.688
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2024;..
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2023;2.442
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2022;2.456
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2021;2.014
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2020;1.880
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2019;2.087
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2018;1.859
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2017;1.904
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2016;1.925
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2015;1.859
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2014;1.754
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2013;1.740
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2012;1.514
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2011;1.569
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2010;1.418
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2009;1.348
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2008;1.841
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2007;2.130
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2006;2.010
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2005;1.904
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2004;1.792
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2003;1.764
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2002;1.729
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2001;1.566
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;2000;1.582
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;1999;1.308
